Name, Band Gap (eV), n*_SiC, n_CH, n_SiH, n_SiSi, n_CC, SiC density, CH density, SiH density, SiSi density, CC density, HH density, Mean SiSi Length, MAD SiSi, STD SiSi, Mean CC Length, MAD CC, STD CC, Mean SiC Length, MAD SiC, STD SiC, %C, %Si, %H, Density(g/cm^3), Volume(cm^3), Free Energy, 1C, 2C, 3C, 4C, 5C, 6C, 7C, 8C, 9C, 10C, 11C, 1Si, 2Si, 3Si, 4Si, 5Si, 6Si, 7Si, 8Si, 9Si, 10Si, 11Si
/storage/home/cjb6010/work/group_work/results/CC_models/76Mixed_bulk_CC/7C,2.15183,0.438954,0.0701307,0.0964297,0,0.113962,108.308,13.5385,18.6154,0,22,0,0,0,0,1.64761,0.0439334,0.0574012,1.90654,0.0316502,0.0400466,0.360169,0.317797,0.322034,2.25089,2.36E-21,-1439.05,55,0,0,1,1,0,0,1,0,0,1,75,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/76Mixed_bulk_CC/8C,2.12324,0.44011,0.0768477,0.0900215,0,0.118565,108.085,14.8351,17.3783,0,22.8885,0,0,0,0,1.62809,0.0402656,0.0516227,1.90631,0.0294628,0.037989,0.364407,0.313559,0.322034,2.24375,2.36E-21,-1446.39,54,0,1,0,1,0,1,1,1,0,0,74,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/76Mixed_bulk_CC/9C,2.19081,0.442932,0.0776789,0.0909952,0,0.137603,107.54,14.9956,17.5663,0,26.5636,0,0,0,0,1.62327,0.0385191,0.0483605,1.9072,0.0291433,0.0378849,0.368644,0.309322,0.322034,2.25658,2.33E-21,-1447,49,1,0,2,2,0,0,0,2,0,0,73,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/76Mixed_bulk_CC/10C,0.719645,0.450533,0.0797614,0.0886237,0,0.146229,106.072,15.3976,17.1085,0,28.229,0,0,0,0,1.6223,0.0541906,0.0716971,1.90634,0.0326964,0.0423012,0.372881,0.305085,0.322034,2.2413,2.34E-21,-1447.25,50,1,0,1,1,0,0,0,1,0,1,72,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/76Mixed_bulk_CC/11C,2.2343,0.453749,0.076746,0.0948039,0,0.180579,105.452,14.8155,18.3015,0,34.86,0,0,0,0,1.62333,0.0411971,0.0501239,1.90692,0.029146,0.0386633,0.377119,0.300847,0.322034,2.27179,2.29E-21,-1449.21,43,0,0,3,1,0,0,0,0,0,2,71,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/76Mixed_bulk_CC/12C,0.988199,0.459228,0.0830231,0.0875108,0,0.179509,104.394,16.0273,16.8936,0,34.6536,0,0,0,0,1.63373,0.0558596,0.0748091,1.90453,0.0322725,0.0432,0.381356,0.29661,0.322034,2.24678,2.31E-21,-1448.25,42,0,1,2,2,1,0,1,0,0,1,70,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/76Mixed_bulk_CC/13C,1.79707,0.463216,0.0838017,0.0883315,0,0.199312,103.624,16.1776,17.052,0,38.4764,0,0,0,0,1.63026,0.0441991,0.0617498,1.90516,0.0335406,0.0432813,0.385593,0.292373,0.322034,2.25618,2.29E-21,-1451.83,42,0,0,2,1,0,1,0,0,0,2,69,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/76Mixed_bulk_CC/14C,0.379824,0.466657,0.0885123,0.0839732,0,0.208798,102.96,17.0869,16.2107,0,40.3077,0,0,0,0,1.61091,0.0463639,0.0600097,1.90558,0.0309584,0.0411215,0.389831,0.288136,0.322034,2.2491,2.28E-21,-1459.18,41,0,0,1,0,0,1,1,0,0,2,68,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/76Mixed_bulk_CC/15C,2.13866,0.46277,0.0926259,0.0833633,0,0.231565,103.71,17.8811,16.093,0,44.7027,0,0,0,0,1.62654,0.0530527,0.0618724,1.90515,0.0319201,0.0442227,0.394068,0.283898,0.322034,2.28285,2.24E-21,-1461.71,40,0,0,0,1,0,1,0,0,1,1,67,0,0,0,0,0,0,0,0,0,0
/storage/home/cjb6010/work/group_work/results/CC_models/76Mixed_bulk_CC/16C,0.465427,0.470325,0.0967233,0.0782998,0,0.234899,102.252,18.672,15.1155,0,45.3464,0,0,0,0,1.61395,0.0407157,0.0548492,1.90507,0.0365368,0.0460022,0.398305,0.279661,0.322034,2.25846,2.25E-21,-1464.93,39,0,0,1,1,1,0,0,0,0,2,66,0,0,0,0,0,0,0,0,0,0
